id,survey_result_id,init_level,errors,adjust_level
277,7,2,3,1
278,12,3,0,3
279,12,3,2,3
280,12,3,4,2
281,8,3,0,3
282,9,3,2,3
283,0,0,4,0
284,6,2,1,2
285,0,0,2,0
286,7,2,1,2
287,12,3,1,3
288,8,3,0,3
289,13,3,4,2
290,12,3,3,2
291,5,2,1,2
292,11,3,3,2
293,0,0,1,0
